Date,Sector,Loans_and_other_receivables,Undrawn_credit_facilities,Guarantees_and_other_commitments,Past_due_30_60,Past_due_60_90,NPA_unlikely_to_pay,NPA_90_180,NPA_180_365,NPA_over_1_year,Impairment_losses_net
2018-03-31,Non-financial corporations excl. housing corporations,"44,494,446,592","19,890,256,288","7,304,561,231","86,380,547","24,864,448","1,232,469,352","62,728,831","75,391,414","447,921,707","-33,399,762"
2018-03-31,Housing corporations,"16,181,187,102","2,974,823,007","141,203,836","11,709,525","1,668,702","43,379,118","2,439,057","355,922","12,978,009","1,014,531"
2018-03-31,Financial and insurance corporations,"17,978,444,801","1,912,555,558","14,017,492,782","38,000","57,000","3,054,985","16,093",2,"256,091","103,574"
2018-03-31,Public entities,"2,258,254,977","798,865,256","336,274,659","4,873,000",0,0,0,0,0,"-4,695"
2018-03-31,Households,"94,279,080,448","7,669,378,828","190,808,311","274,185,395","71,001,256","959,815,131","192,388,736","181,903,254","524,687,727","20,923,294"
2018-03-31,Non-profit organisations serving households,"1,471,439,947","170,275,855","24,697,276","4,013,174","6,251","13,666,000","2,499,891","2,072,533","3,542,729","250,560"
2018-03-31,Rest of the world,"27,336,530,043","1,576,592,446","3,001,111,462","2,121,601","63,938,807","18,661,505","1,695,719","2,281,419","3,296,060","-97,069"
2018-03-31,Sundry,"28,356,000","4,588,000","15,052,031",0,0,"1,000","34,000",0,"224,000","-1,145,000"
2017-12-31,Non-financial corporations excl. housing corporations,"43,461,362,224","19,267,773,793","7,280,901,760","68,827,149","31,255,355","994,063,534","55,829,337","98,702,515","518,958,992","60,531,467"
2017-12-31,Housing corporations,"15,661,708,271","2,957,900,614","101,135,302","10,912,085","2,051,248","9,837,182","1,666,855","1,023,186","13,178,009","971,235"
2017-12-31,Financial and insurance corporations,"18,687,697,439","6,135,566,980","14,083,679,451","1,027","5,000","508,942",74,74,"319,052","-141,970"
2017-12-31,Public entities,"2,608,050,962","843,260,110","335,860,679","58,000","5,000",0,0,"96,000",0,"-217,000"
2017-12-31,Households,"93,963,159,724","8,829,371,254","128,368,260","245,088,265","105,229,876","1,103,753,766","198,592,569","187,684,872","538,587,446","63,771,910"
